"Project","Amount.Raised.in.ICO...M.","ICO.Close.Date","Page.count","Amount.Raised.per.Page...M."
"TV-TWO","$8.70","7/24/18","41","$0.21"
"Gramaton Token","$7.00","7/24/18","57","$0.12"
"Etherisc","$3.79","7/24/18","44","$0.09"
"Quadrant Protocol","$16.00","7/26/18","44","$0.36"
"The Deal Coin","$17.64","7/27/18","38","$0.46"
"Swiss Alps Mining","$6.02","7/27/18","40","$0.15"
"Poseidon","$2.45","7/29/18","27","$0.09"
"Exolover","$2.32","7/29/18","52","$0.04"
"PAYERA","$4.33","7/30/18","21","$0.21"
"Talao","$2.34","7/30/18","50","$0.05"
"CGCX","$1.93","7/30/18","42","$0.05"
"WallChain","$1.00","7/30/18","39","$0.03"
"Kairos","$13.00","7/31/18","20","$0.65"
"Farma Trust","$15.00","7/31/18","30","$0.50"
"ETHernitymining","$2.50","7/31/18","49","$0.05"
